Exp,fps
1618839938.4740689,46.57468645255727
1618839938.495955,46.573097378279
1618839938.518589,46.56866676771549
1618839938.5399292,46.569175323631256
1618839938.561055,46.57049872273679
1618839938.582765,46.56959565541495
1618839938.603528,46.572287749440115
1618839938.624738,46.573277778607185
1618839938.646292,46.57296671741905
1618839938.6673112,46.57466768246879
1618839938.688231,46.5767426098975
1618839938.7101068,46.575214862425035
1618839938.730817,46.57806858367195
1618839938.7518232,46.57980176118231
1618839938.7728431,46.58147308095956
1618839938.793806,46.58335503087828
1618839938.814663,46.58562898070404
1618839938.835952,46.58628617796057
1618839938.857501,46.585972860047455
1618839938.8799412,46.58236477521068
1618839938.900744,46.58482445774709
1618839938.92179,46.58637541836625
1618839938.9432802,46.58628515583785
1618839938.96402,46.58895418537003
1618839938.985142,46.59021142023047
1618839939.0060391,46.59228952700562
1618839939.027513,46.59224844841134
1618839939.0483599,46.59449540161749
1618839939.069525,46.59558190872889
1618839939.09065,46.596806899079446
1618839939.112889,46.59398369429102
1618839939.134381,46.593867514623106
1618839939.156236,46.59243975049165
